#FOFID pos_x pos_y pos_z vel_x vel_y vel_z
#integer kpc/h kpc/h kpc/h km/s km/s km/s 
364 3416.358398 52458.171875 51453.589844 123.529236 -205.030548 57.952244
365 18582.255859 70425.273438 3132.126709 70.412064 -386.856628 -347.945038
366 16035.968750 48370.339844 40856.718750 -26.880901 -76.720505 430.629791
367 52671.437500 31180.431641 23930.927734 181.212311 -37.386238 117.329155
368 41130.109375 58186.484375 50556.144531 -150.989746 162.279449 -210.168320
369 10997.282227 14603.452148 26609.597656 -60.281609 -25.056517 6.743865
370 29245.841797 71926.203125 71147.390625 -158.350189 229.334976 -58.085564
371 37763.027344 67127.953125 38492.945312 304.847443 151.239136 356.313843
372 21000.818359 2580.587402 24395.037109 -104.939804 198.733109 52.490898
373 74394.476562 43843.882812 28408.826172 221.074371 -43.897743 15.227693
374 5094.272461 48981.492188 40709.703125 387.555481 323.726746 252.697662
375 21084.013672 13559.735352 64639.476562 -38.829144 -80.772842 -12.830596
